ts,date,dateDay,dateMonth,dateYear,dateHour,dateMinute,dateSeconds,open,close,high,low,volume
1577836800,2020-01-01 05:30:00,1,1,2020,5,30,0,0.03285,0.03348,0.0338,0.0327,29827408.5
1577923200,2020-01-02 05:30:00,2,1,2020,5,30,0,0.03345,0.03269,0.03348,0.03218,42826456.1
1578009600,2020-01-03 05:30:00,3,1,2020,5,30,0,0.03269,0.03417,0.03446,0.03236,102581046.7
1578096000,2020-01-04 05:30:00,4,1,2020,5,30,0,0.03417,0.03434,0.0345,0.03375,55528746.4
1578182400,2020-01-05 05:30:00,5,1,2020,5,30,0,0.03436,0.0346,0.03527,0.03419,71815282.1
1578268800,2020-01-06 05:30:00,6,1,2020,5,30,0,0.03461,0.03732,0.03736,0.03439,131688800.5
1578355200,2020-01-07 05:30:00,7,1,2020,5,30,0,0.03732,0.037,0.03808,0.03638,210380672.5
1578441600,2020-01-08 05:30:00,8,1,2020,5,30,0,0.03696,0.03631,0.03875,0.0358,228408557.2
1578528000,2020-01-09 05:30:00,9,1,2020,5,30,0,0.0363,0.03616,0.03637,0.03548,86372611.3
1578614400,2020-01-10 05:30:00,10,1,2020,5,30,0,0.03616,0.03693,0.03709,0.03468,160265699.1
1578700800,2020-01-11 05:30:00,11,1,2020,5,30,0,0.03693,0.03678,0.0378,0.03641,82682827.3
1578787200,2020-01-12 05:30:00,12,1,2020,5,30,0,0.03673,0.03792,0.03792,0.03653,74412951.5
1578873600,2020-01-13 05:30:00,13,1,2020,5,30,0,0.03788,0.03682,0.03795,0.0367,48213285.1
1578960000,2020-01-14 05:30:00,14,1,2020,5,30,0,0.03682,0.04161,0.04277,0.03681,436406174.4
1579046400,2020-01-15 05:30:00,15,1,2020,5,30,0,0.04161,0.04275,0.04324,0.04001,317415252.7
1579132800,2020-01-16 05:30:00,16,1,2020,5,30,0,0.04277,0.04168,0.0433,0.04017,167386728.8
1579219200,2020-01-17 05:30:00,17,1,2020,5,30,0,0.04169,0.0449,0.04595,0.04114,352746229.4
1579305600,2020-01-18 05:30:00,18,1,2020,5,30,0,0.04488,0.04489,0.04583,0.04311,235080675.3
1579392000,2020-01-19 05:30:00,19,1,2020,5,30,0,0.04489,0.042,0.046,0.04129,255673670.8
1579478400,2020-01-20 05:30:00,20,1,2020,5,30,0,0.042,0.04378,0.04435,0.04197,168161777.9
