ts,date,dateDay,dateMonth,dateYear,dateHour,dateMinute,dateSeconds,open,close,high,low,volume
1577836800,2020-01-01 05:30:00,1,1,2020,5,30,0,41.29,41.62,42.08,41.16,110044.87445
1577923200,2020-01-02 05:30:00,2,1,2020,5,30,0,41.58,39.43,41.74,39.17,194486.2157
1578009600,2020-01-03 05:30:00,3,1,2020,5,30,0,39.44,42.23,42.39,38.77,426771.00676
1578096000,2020-01-04 05:30:00,4,1,2020,5,30,0,42.23,42.78,42.9,41.77,248814.62818
1578182400,2020-01-05 05:30:00,5,1,2020,5,30,0,42.79,43.3,44.61,42.6,291964.84958
1578268800,2020-01-06 05:30:00,6,1,2020,5,30,0,43.29,45.8,46.08,43.16,384930.9909
1578355200,2020-01-07 05:30:00,7,1,2020,5,30,0,45.8,46.3,47.03,44.48,493847.10532
1578441600,2020-01-08 05:30:00,8,1,2020,5,30,0,46.3,45.35,48.54,44.0,628050.68438
1578528000,2020-01-09 05:30:00,9,1,2020,5,30,0,45.35,44.74,45.79,43.9,296221.65692
1578614400,2020-01-10 05:30:00,10,1,2020,5,30,0,44.75,49.06,49.72,43.71,729803.12291
1578700800,2020-01-11 05:30:00,11,1,2020,5,30,0,49.06,49.3,51.95,47.77,681984.46652
1578787200,2020-01-12 05:30:00,12,1,2020,5,30,0,49.32,51.43,51.75,48.78,533583.45808
1578873600,2020-01-13 05:30:00,13,1,2020,5,30,0,51.44,49.6,51.6,48.91,382092.95573
1578960000,2020-01-14 05:30:00,14,1,2020,5,30,0,49.59,58.39,60.8,49.58,1232536.35364
1579046400,2020-01-15 05:30:00,15,1,2020,5,30,0,58.37,58.16,60.33,55.28,720369.64189
1579132800,2020-01-16 05:30:00,16,1,2020,5,30,0,58.17,57.56,58.5,54.5,477991.20162
1579219200,2020-01-17 05:30:00,17,1,2020,5,30,0,57.56,61.02,63.26,56.72,767514.50323
1579305600,2020-01-18 05:30:00,18,1,2020,5,30,0,61.05,59.32,62.5,57.9,498603.84903
1579392000,2020-01-19 05:30:00,19,1,2020,5,30,0,59.29,57.6,62.55,55.34,530916.40859
1579478400,2020-01-20 05:30:00,20,1,2020,5,30,0,57.59,57.19,58.29,55.84,262316.67258
1579564800,2020-01-21 05:30:00,21,1,2020,5,30,0,57.19,57.57,58.09,55.91,216543.72376
1579651200,2020-01-22 05:30:00,22,1,2020,5,30,0,57.6,58.33,59.33,57.18,218658.95477
1579737600,2020-01-23 05:30:00,23,1,2020,5,30,0,58.33,54.52,58.4,52.42,464982.43026
1579824000,2020-01-24 05:30:00,24,1,2020,5,30,0,54.52,54.38,55.41,50.64,550746.21423
1579910400,2020-01-25 05:30:00,25,1,2020,5,30,0,54.41,53.25,54.41,51.9,282004.92676
1579996800,2020-01-26 05:30:00,26,1,2020,5,30,0,53.26,56.24,56.68,52.8,348355.26494
1580083200,2020-01-27 05:30:00,27,1,2020,5,30,0,56.29,58.55,59.65,55.87,504725.67707
1580169600,2020-01-28 05:30:00,28,1,2020,5,30,0,58.55,60.52,61.61,57.28,720540.74548
1580256000,2020-01-29 05:30:00,29,1,2020,5,30,0,60.54,59.8,62.56,59.4,570079.36355
1580342400,2020-01-30 05:30:00,30,1,2020,5,30,0,59.81,67.98,70.22,58.24,1286322.99676
