ts,date,dateDay,dateMonth,dateYear,dateHour,dateMinute,dateSeconds,open,close,high,low,volume
1577836800,2020-01-01 05:30:00,1,1,2020,5,30,0,0.01379,0.01496,0.0155,0.01375,491078226.7
1577923200,2020-01-02 05:30:00,2,1,2020,5,30,0,0.01498,0.01467,0.01578,0.01428,633705645.2
1578009600,2020-01-03 05:30:00,3,1,2020,5,30,0,0.01466,0.01512,0.01543,0.01417,381462323.7
1578096000,2020-01-04 05:30:00,4,1,2020,5,30,0,0.01513,0.01484,0.01549,0.01473,230291045.9
1578182400,2020-01-05 05:30:00,5,1,2020,5,30,0,0.01482,0.01483,0.01516,0.01464,185917300.1
1578268800,2020-01-06 05:30:00,6,1,2020,5,30,0,0.01482,0.01554,0.01595,0.01476,398548143.9
1578355200,2020-01-07 05:30:00,7,1,2020,5,30,0,0.01556,0.01509,0.01569,0.01476,372258630.1
1578441600,2020-01-08 05:30:00,8,1,2020,5,30,0,0.01508,0.01499,0.01532,0.01469,333818052.2
1578528000,2020-01-09 05:30:00,9,1,2020,5,30,0,0.015,0.01459,0.01514,0.01442,179884184.1
1578614400,2020-01-10 05:30:00,10,1,2020,5,30,0,0.01459,0.01486,0.01497,0.01423,211672984.3
1578700800,2020-01-11 05:30:00,11,1,2020,5,30,0,0.01486,0.01479,0.0151,0.01471,178764052.8
1578787200,2020-01-12 05:30:00,12,1,2020,5,30,0,0.01478,0.01496,0.0152,0.01466,147803317.8
1578873600,2020-01-13 05:30:00,13,1,2020,5,30,0,0.01497,0.01548,0.01565,0.01476,227352720.2
1578960000,2020-01-14 05:30:00,14,1,2020,5,30,0,0.01548,0.01564,0.01605,0.0152,508533400.1
1579046400,2020-01-15 05:30:00,15,1,2020,5,30,0,0.01563,0.01639,0.01704,0.01546,454172196.7
1579132800,2020-01-16 05:30:00,16,1,2020,5,30,0,0.0164,0.01614,0.01645,0.01542,375117135.8
1579219200,2020-01-17 05:30:00,17,1,2020,5,30,0,0.01613,0.0187,0.01926,0.01576,1188281610.1
1579305600,2020-01-18 05:30:00,18,1,2020,5,30,0,0.0187,0.01748,0.01886,0.01721,408909989.5
1579392000,2020-01-19 05:30:00,19,1,2020,5,30,0,0.01747,0.01643,0.01779,0.01584,380894731.6
1579478400,2020-01-20 05:30:00,20,1,2020,5,30,0,0.01644,0.01685,0.01723,0.01602,256003406.3
1579564800,2020-01-21 05:30:00,21,1,2020,5,30,0,0.01686,0.01713,0.01745,0.01616,294705404.1
1579651200,2020-01-22 05:30:00,22,1,2020,5,30,0,0.01715,0.01708,0.01724,0.01672,172091173.6
1579737600,2020-01-23 05:30:00,23,1,2020,5,30,0,0.0171,0.01605,0.01711,0.01569,249820107.7
1579824000,2020-01-24 05:30:00,24,1,2020,5,30,0,0.01605,0.01622,0.01646,0.01531,189090063.3
1579910400,2020-01-25 05:30:00,25,1,2020,5,30,0,0.01622,0.01602,0.01642,0.01576,153695842.3
1579996800,2020-01-26 05:30:00,26,1,2020,5,30,0,0.016,0.01645,0.01666,0.01592,139815455.5
1580083200,2020-01-27 05:30:00,27,1,2020,5,30,0,0.01648,0.0169,0.01737,0.01647,265267740.0
1580169600,2020-01-28 05:30:00,28,1,2020,5,30,0,0.0169,0.01714,0.01735,0.01649,292710824.5
1580256000,2020-01-29 05:30:00,29,1,2020,5,30,0,0.01715,0.01704,0.01725,0.01673,229198524.6
1580342400,2020-01-30 05:30:00,30,1,2020,5,30,0,0.01704,0.01859,0.01871,0.01685,528836868.5
1580428800,2020-01-31 05:30:00,31,1,2020,5,30,0,0.01859,0.01795,0.01885,0.01769,309411929.0
1580515200,2020-02-01 05:30:00,1,2,2020,5,30,0,0.0179,0.01829,0.01842,0.0178,138733238.4
1580601600,2020-02-02 05:30:00,2,2,2020,5,30,0,0.01829,0.01903,0.0197,0.0178,346032953.9
1580688000,2020-02-03 05:30:00,3,2,2020,5,30,0,0.01903,0.02199,0.0225,0.01886,980888883.3
1580774400,2020-02-04 05:30:00,4,2,2020,5,30,0,0.02199,0.02098,0.02266,0.0202,877010051.4
1580860800,2020-02-05 05:30:00,5,2,2020,5,30,0,0.02102,0.02155,0.02223,0.02077,570440728.9
1580947200,2020-02-06 05:30:00,6,2,2020,5,30,0,0.02154,0.02449,0.02492,0.0215,847034282.2
1581033600,2020-02-07 05:30:00,7,2,2020,5,30,0,0.02448,0.023,0.02518,0.0228,702031749.5
1581120000,2020-02-08 05:30:00,8,2,2020,5,30,0,0.023,0.02123,0.02305,0.01945,1047837209.0
1581206400,2020-02-09 05:30:00,9,2,2020,5,30,0,0.02121,0.02197,0.0223,0.0207,513940247.7
1581292800,2020-02-10 05:30:00,10,2,2020,5,30,0,0.0219,0.02159,0.0223,0.02028,530686843.0
1581379200,2020-02-11 05:30:00,11,2,2020,5,30,0,0.02157,0.0229,0.02292,0.02081,389524777.3
1581465600,2020-02-12 05:30:00,12,2,2020,5,30,0,0.02291,0.0228,0.02455,0.0224,780105062.9
1581552000,2020-02-13 05:30:00,13,2,2020,5,30,0,0.02282,0.02233,0.02373,0.02172,524733065.9
1581638400,2020-02-14 05:30:00,14,2,2020,5,30,0,0.02232,0.02326,0.02383,0.02217,441396099.5
1581724800,2020-02-15 05:30:00,15,2,2020,5,30,0,0.02327,0.0209,0.02372,0.02,589342906.0
1581811200,2020-02-16 05:30:00,16,2,2020,5,30,0,0.02091,0.02011,0.02181,0.01859,656256013.6
1581897600,2020-02-17 05:30:00,17,2,2020,5,30,0,0.02009,0.02009,0.02022,0.01876,407746218.3
1581984000,2020-02-18 05:30:00,18,2,2020,5,30,0,0.0201,0.02151,0.02196,0.01966,396611373.3
1582070400,2020-02-19 05:30:00,19,2,2020,5,30,0,0.02154,0.01996,0.022,0.01925,218514631.8
1582156800,2020-02-20 05:30:00,20,2,2020,5,30,0,0.01994,0.02071,0.02073,0.01905,231860140.1
1582243200,2020-02-21 05:30:00,21,2,2020,5,30,0,0.02068,0.02074,0.0219,0.02028,323094839.5
1582329600,2020-02-22 05:30:00,22,2,2020,5,30,0,0.02075,0.02076,0.02115,0.02027,154701488.2
1582416000,2020-02-23 05:30:00,23,2,2020,5,30,0,0.02076,0.02229,0.023,0.02072,368782509.5
1582502400,2020-02-24 05:30:00,24,2,2020,5,30,0,0.02228,0.02078,0.02236,0.02,334945077.3
1582588800,2020-02-25 05:30:00,25,2,2020,5,30,0,0.02075,0.01907,0.02083,0.01868,447437214.5
1582675200,2020-02-26 05:30:00,26,2,2020,5,30,0,0.01903,0.01841,0.01947,0.01676,473199920.0
1582761600,2020-02-27 05:30:00,27,2,2020,5,30,0,0.01842,0.01962,0.0199,0.01746,436872082.7
1582848000,2020-02-28 05:30:00,28,2,2020,5,30,0,0.01964,0.0202,0.02043,0.01786,455674502.3
1582934400,2020-02-29 05:30:00,29,2,2020,5,30,0,0.0202,0.02015,0.0212,0.01981,384070131.0
1583020800,2020-03-01 05:30:00,1,3,2020,5,30,0,0.02015,0.01935,0.02108,0.01874,419621195.6
1583107200,2020-03-02 05:30:00,2,3,2020,5,30,0,0.01934,0.02144,0.02168,0.01901,379683878.3
1583193600,2020-03-03 05:30:00,3,3,2020,5,30,0,0.02145,0.02344,0.024,0.02047,618780337.3
1583280000,2020-03-04 05:30:00,4,3,2020,5,30,0,0.02344,0.02511,0.02737,0.02339,1276187446.8
1583366400,2020-03-05 05:30:00,5,3,2020,5,30,0,0.02511,0.02639,0.02796,0.02495,899694395.6
1583452800,2020-03-06 05:30:00,6,3,2020,5,30,0,0.02636,0.02497,0.02644,0.0243,619002834.4
1583539200,2020-03-07 05:30:00,7,3,2020,5,30,0,0.02498,0.02679,0.02922,0.02491,986883714.8
1583625600,2020-03-08 05:30:00,8,3,2020,5,30,0,0.02679,0.02143,0.0268,0.021,945593045.1
1583712000,2020-03-09 05:30:00,9,3,2020,5,30,0,0.02148,0.02053,0.02261,0.01867,1257378101.4
1583798400,2020-03-10 05:30:00,10,3,2020,5,30,0,0.02053,0.02061,0.02239,0.01988,1046480525.3
1583884800,2020-03-11 05:30:00,11,3,2020,5,30,0,0.0206,0.01899,0.02149,0.01723,1133107149.1
1583971200,2020-03-12 05:30:00,12,3,2020,5,30,0,0.01898,0.00914,0.01921,0.00845,1745672785.4
1584057600,2020-03-13 05:30:00,13,3,2020,5,30,0,0.00935,0.01087,0.01208,0.00632,1501085364.5
1584144000,2020-03-14 05:30:00,14,3,2020,5,30,0,0.01082,0.00983,0.01137,0.00952,488809312.8
1584230400,2020-03-15 05:30:00,15,3,2020,5,30,0,0.00983,0.00986,0.0115,0.00939,568797501.0
1584316800,2020-03-16 05:30:00,16,3,2020,5,30,0,0.00986,0.00813,0.00986,0.00674,1111508586.6
1584403200,2020-03-17 05:30:00,17,3,2020,5,30,0,0.00815,0.00921,0.00988,0.00797,757899922.6
1584489600,2020-03-18 05:30:00,18,3,2020,5,30,0,0.00921,0.00912,0.0093,0.0081,713721987.3
1584576000,2020-03-19 05:30:00,19,3,2020,5,30,0,0.00913,0.01121,0.01187,0.00896,1066368718.0
1584662400,2020-03-20 05:30:00,20,3,2020,5,30,0,0.01122,0.01085,0.0129,0.0096,1011394442.7
1584748800,2020-03-21 05:30:00,21,3,2020,5,30,0,0.01085,0.01121,0.01239,0.01,646956811.7
1584835200,2020-03-22 05:30:00,22,3,2020,5,30,0,0.01119,0.01005,0.01167,0.00983,482278540.1
1584921600,2020-03-23 05:30:00,23,3,2020,5,30,0,0.01005,0.01114,0.01152,0.00981,458237815.9
1585008000,2020-03-24 05:30:00,24,3,2020,5,30,0,0.01117,0.01126,0.01193,0.01078,494571328.5
1585094400,2020-03-25 05:30:00,25,3,2020,5,30,0,0.01126,0.01147,0.01163,0.01071,354205387.7
1585180800,2020-03-26 05:30:00,26,3,2020,5,30,0,0.01147,0.01187,0.01218,0.01128,414075934.2
1585267200,2020-03-27 05:30:00,27,3,2020,5,30,0,0.01187,0.01076,0.0122,0.01055,282245581.0
1585353600,2020-03-28 05:30:00,28,3,2020,5,30,0,0.01078,0.01062,0.0108,0.01,345466205.3
1585440000,2020-03-29 05:30:00,29,3,2020,5,30,0,0.01063,0.01001,0.01068,0.01001,222731290.8
1585526400,2020-03-30 05:30:00,30,3,2020,5,30,0,0.01001,0.01068,0.01113,0.01001,288831345.2
1585612800,2020-03-31 05:30:00,31,3,2020,5,30,0,0.01068,0.01097,0.01125,0.01063,207916536.5
1585699200,2020-04-01 05:30:00,1,4,2020,5,30,0,0.01099,0.01122,0.0114,0.01049,406047767.2
1585785600,2020-04-02 05:30:00,2,4,2020,5,30,0,0.01123,0.01153,0.01218,0.01115,481322653.3
1585872000,2020-04-03 05:30:00,3,4,2020,5,30,0,0.01153,0.01158,0.01199,0.01123,256655936.7
1585958400,2020-04-04 05:30:00,4,4,2020,5,30,0,0.01157,0.01171,0.01194,0.01132,234563845.1
1586044800,2020-04-05 05:30:00,5,4,2020,5,30,0,0.0117,0.01142,0.01175,0.01125,202395294.4
1586131200,2020-04-06 05:30:00,6,4,2020,5,30,0,0.0114,0.01351,0.01359,0.0114,973640935.7
1586217600,2020-04-07 05:30:00,7,4,2020,5,30,0,0.01349,0.01294,0.01396,0.01266,945981292.6
1586304000,2020-04-08 05:30:00,8,4,2020,5,30,0,0.01293,0.01373,0.01392,0.01275,579952971.2
1586390400,2020-04-09 05:30:00,9,4,2020,5,30,0,0.01376,0.0135,0.01404,0.01296,473745175.7
1586476800,2020-04-10 05:30:00,10,4,2020,5,30,0,0.01349,0.012,0.01351,0.01146,573374715.3
1586563200,2020-04-11 05:30:00,11,4,2020,5,30,0,0.012,0.01223,0.01262,0.01181,361896064.5
1586649600,2020-04-12 05:30:00,12,4,2020,5,30,0,0.01223,0.01222,0.01294,0.01185,327218268.2
1586736000,2020-04-13 05:30:00,13,4,2020,5,30,0,0.01219,0.01199,0.01225,0.0115,358807189.1
1586822400,2020-04-14 05:30:00,14,4,2020,5,30,0,0.01199,0.01208,0.01249,0.01172,234080134.9
1586908800,2020-04-15 05:30:00,15,4,2020,5,30,0,0.0121,0.01164,0.01227,0.01159,160419299.1
1586995200,2020-04-16 05:30:00,16,4,2020,5,30,0,0.01163,0.0126,0.01283,0.01124,312664214.0
1587081600,2020-04-17 05:30:00,17,4,2020,5,30,0,0.01262,0.01274,0.01305,0.01242,214711136.3
1587168000,2020-04-18 05:30:00,18,4,2020,5,30,0,0.01272,0.01338,0.01352,0.01266,242036306.2
1587254400,2020-04-19 05:30:00,19,4,2020,5,30,0,0.01338,0.01287,0.0138,0.01273,303467372.3
1587340800,2020-04-20 05:30:00,20,4,2020,5,30,0,0.01289,0.01201,0.01333,0.01175,369477142.8
1587427200,2020-04-21 05:30:00,21,4,2020,5,30,0,0.012,0.01198,0.01229,0.01164,253992768.4
1587513600,2020-04-22 05:30:00,22,4,2020,5,30,0,0.01198,0.01277,0.0128,0.01193,186297144.8
1587600000,2020-04-23 05:30:00,23,4,2020,5,30,0,0.01278,0.01428,0.01497,0.01245,637233223.6
1587686400,2020-04-24 05:30:00,24,4,2020,5,30,0,0.01431,0.01468,0.01576,0.01429,658211884.8
1587772800,2020-04-25 05:30:00,25,4,2020,5,30,0,0.01468,0.01505,0.0155,0.01433,327689366.1
1587859200,2020-04-26 05:30:00,26,4,2020,5,30,0,0.01504,0.01563,0.0161,0.01495,384349987.3
1587945600,2020-04-27 05:30:00,27,4,2020,5,30,0,0.01562,0.01544,0.01598,0.01476,339737737.9
1588032000,2020-04-28 05:30:00,28,4,2020,5,30,0,0.01543,0.01571,0.0158,0.01494,240524707.5
1588118400,2020-04-29 05:30:00,29,4,2020,5,30,0,0.01566,0.01642,0.01689,0.01548,595281459.3
1588204800,2020-04-30 05:30:00,30,4,2020,5,30,0,0.01644,0.01543,0.01663,0.01513,582148930.2
1588291200,2020-05-01 05:30:00,1,5,2020,5,30,0,0.01541,0.01585,0.01636,0.0154,244563885.9
1588377600,2020-05-02 05:30:00,2,5,2020,5,30,0,0.01585,0.01691,0.01721,0.01575,317889542.0
1588464000,2020-05-03 05:30:00,3,5,2020,5,30,0,0.01694,0.01711,0.01806,0.01648,550034677.5
1588550400,2020-05-04 05:30:00,4,5,2020,5,30,0,0.01711,0.01697,0.01747,0.01562,521561645.3
1588636800,2020-05-05 05:30:00,5,5,2020,5,30,0,0.01697,0.01696,0.01718,0.01627,237462928.8
1588723200,2020-05-06 05:30:00,6,5,2020,5,30,0,0.01696,0.01704,0.01817,0.0167,412067567.8
1588809600,2020-05-07 05:30:00,7,5,2020,5,30,0,0.01706,0.0174,0.01788,0.01671,405555320.1
1588896000,2020-05-08 05:30:00,8,5,2020,5,30,0,0.0174,0.0179,0.01851,0.01707,361056114.3
1588982400,2020-05-09 05:30:00,9,5,2020,5,30,0,0.01792,0.01722,0.01842,0.01718,289308076.4
