ts,date,dateDay,dateMonth,dateYear,dateHour,dateMinute,dateSeconds,open,close,high,low,volume
1597104000,2020-08-11 05:30:00,11,8,2020,5,30,0,2.85,3.2985,3.5208,2.8433,1552384.78
1597190400,2020-08-12 05:30:00,12,8,2020,5,30,0,3.2985,3.7558,3.9289,3.08,1737042.95
1597276800,2020-08-13 05:30:00,13,8,2020,5,30,0,3.75,3.73,4.1387,3.5003,1685759.24
1597363200,2020-08-14 05:30:00,14,8,2020,5,30,0,3.7207,3.4099,3.7676,3.321,1474161.79
1597449600,2020-08-15 05:30:00,15,8,2020,5,30,0,3.4181,3.173,3.74,3.15,1070233.2
1597536000,2020-08-16 05:30:00,16,8,2020,5,30,0,3.173,3.3885,3.4907,3.12,668106.53
1597622400,2020-08-17 05:30:00,17,8,2020,5,30,0,3.3885,3.11,3.3952,3.1,729413.64
1597708800,2020-08-18 05:30:00,18,8,2020,5,30,0,3.11,3.3407,3.7092,2.8105,2713115.94
1597795200,2020-08-19 05:30:00,19,8,2020,5,30,0,3.334,2.8868,3.49,2.8,1433243.76
1597881600,2020-08-20 05:30:00,20,8,2020,5,30,0,2.8962,3.2038,3.445,2.8871,1277827.32
1597968000,2020-08-21 05:30:00,21,8,2020,5,30,0,3.2038,2.9317,3.24,2.89,1131895.9
1598054400,2020-08-22 05:30:00,22,8,2020,5,30,0,2.9213,3.0126,3.2,2.7431,1169417.78
1598140800,2020-08-23 05:30:00,23,8,2020,5,30,0,3.0224,3.25,3.4,3.0014,1198036.69
1598227200,2020-08-24 05:30:00,24,8,2020,5,30,0,3.2658,3.3405,3.62,3.21,1315196.06
1598313600,2020-08-25 05:30:00,25,8,2020,5,30,0,3.3406,3.25,3.3654,3.0001,1149187.37
1598400000,2020-08-26 05:30:00,26,8,2020,5,30,0,3.2576,3.5684,3.7999,3.1809,2290030.56
1598486400,2020-08-27 05:30:00,27,8,2020,5,30,0,3.5557,3.4501,3.8575,3.2434,2412974.8
