ts,date,dateDay,dateMonth,dateYear,dateHour,dateMinute,dateSeconds,open,close,high,low,volume
1577836800,2020-01-01 05:30:00,1,1,2020,5,30,0,0.0133,0.01322,0.01342,0.01315,945976772.7
1577923200,2020-01-02 05:30:00,2,1,2020,5,30,0,0.01321,0.01284,0.01323,0.01278,1330291795.5
1578009600,2020-01-03 05:30:00,3,1,2020,5,30,0,0.01285,0.01344,0.01355,0.01269,2395033418.9
1578096000,2020-01-04 05:30:00,4,1,2020,5,30,0,0.01344,0.01344,0.0135,0.01323,986385998.9
1578182400,2020-01-05 05:30:00,5,1,2020,5,30,0,0.01345,0.01353,0.01387,0.01343,1332595241.3
1578268800,2020-01-06 05:30:00,6,1,2020,5,30,0,0.01353,0.01472,0.01473,0.01349,1965216042.5
1578355200,2020-01-07 05:30:00,7,1,2020,5,30,0,0.01471,0.01434,0.01483,0.01406,1597105399.0
1578441600,2020-01-08 05:30:00,8,1,2020,5,30,0,0.01434,0.01402,0.01466,0.0138,1659716356.4
1578528000,2020-01-09 05:30:00,9,1,2020,5,30,0,0.01402,0.01398,0.01413,0.01374,789247544.5
1578614400,2020-01-10 05:30:00,10,1,2020,5,30,0,0.01399,0.01469,0.01486,0.01365,1307533772.8
1578700800,2020-01-11 05:30:00,11,1,2020,5,30,0,0.01469,0.0146,0.01508,0.01447,1485156856.1
1578787200,2020-01-12 05:30:00,12,1,2020,5,30,0,0.0146,0.01503,0.0151,0.01441,873939962.3
1578873600,2020-01-13 05:30:00,13,1,2020,5,30,0,0.01504,0.01464,0.01509,0.01454,822171645.9
1578960000,2020-01-14 05:30:00,14,1,2020,5,30,0,0.01464,0.01677,0.01722,0.01463,2057816124.2
1579046400,2020-01-15 05:30:00,15,1,2020,5,30,0,0.01676,0.01729,0.01824,0.01609,1724069081.5
1579132800,2020-01-16 05:30:00,16,1,2020,5,30,0,0.0173,0.01734,0.01746,0.01606,1095424710.5
1579219200,2020-01-17 05:30:00,17,1,2020,5,30,0,0.01734,0.01758,0.01814,0.01692,1322734377.1
1579305600,2020-01-18 05:30:00,18,1,2020,5,30,0,0.01757,0.01766,0.01818,0.01719,825434145.0
1579392000,2020-01-19 05:30:00,19,1,2020,5,30,0,0.01767,0.01665,0.01812,0.016,1137962952.5
1579478400,2020-01-20 05:30:00,20,1,2020,5,30,0,0.01665,0.01661,0.01677,0.01611,533654324.2
1579564800,2020-01-21 05:30:00,21,1,2020,5,30,0,0.01661,0.01732,0.01737,0.01651,634150240.5
1579651200,2020-01-22 05:30:00,22,1,2020,5,30,0,0.01733,0.01743,0.01754,0.01705,475911554.9
